  ,Date,Title,Audience,Location,Slides,Resources
1,2017-02-07,Version control with Git,WEEL,"Memorial University, St. John’s, NL",,https://github.com/robitalec/workshops/tree/master/2017-02-07-version-control-with-git
2,2017-11-02,Introduction to ggplot2,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2017-11-02-intro-ggplot.html,https://github.com/robitalec/workshops/tree/master/2017-11-02-intro-ggplot
3,2017-11-16,Introduction to data.table,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2017-11-16-intro-data-table.html,https://github.com/robitalec/workshops/tree/master/2017-11-16-intro-data-table
5,2018-10-25,Functions in R,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2018-10-25-functions-in-r.html,https://github.com/robitalec/workshops/tree/master/2018-10-25-functions-in-r
4,2018-10-25,Developing R Packages,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2018-10-25-r-packages.html,https://github.com/robitalec/workshops/tree/master/2018-10-25-r-packages
6,2019-02-07,Implementing proximity based social network analysis using spatsoc,Canadian Section of the Wildlife Society,Webinar,https://robitalec.github.io/workshops/2019-02-07-CSTWS-webinar-spatsoc.html,https://github.com/robitalec/workshops/tree/master/2019-02-07-CSTWS-webinar-spatsoc
7,2019-05-29,Epidemiology lunch and learn: best practices with data and R,Office of the Chief Medical Officer of Health,"Whitehorse, Yukon",https://robitalec.github.io/workshops/2019-05-29-epi-lunch-learn.html ,https://github.com/robitalec/workshops/tree/master/2019-05-29-epi-lunch-learn
8,2019-10-21,Basic R Markdown,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2019-10-21-basic-Rmd.html,https://github.com/robitalec/workshops/tree/master/2019-10-21-basic-rmd
9,2020-02-06,Git and Projects,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2020-02-06-git-and-projects.html,https://github.com/robitalec/workshops/tree/master/2020-02-06-git-and-projects
10,2020-05-04,Introduction to spatial R,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2020-05-04-intro-spatial-R.html,https://github.com/robitalec/workshops/tree/master/2020-05-04-intro-spatial-r
11,2020-08-04,Some Reproducibility,WEEL,"Memorial University, St. John’s, NL",,https://github.com/robitalec/workshops/tree/master/2021-08-04-some-reproducibility
12,2020-12-10,An Introduction to Remote Sensing with Earth Engine,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2020-12-10-ee.html,https://github.com/robitalec/workshops/tree/master/2020-12-10-ee
13,2021-06-03,Metadata,WEEL,"Memorial University, St. John’s, NL",,https://weel.gitlab.io/metadata/
14,2021-09-29,WEEL guide and universe,WEEL,"Memorial University, St. John’s, NL",,https://weel.gitlab.io/guide/
15,2021-10-27,Introduction to Git,WEEL,"Memorial University, St. John’s, NL",https://robitalec.github.io/workshops/2021-10-27-git-intro.html,https://github.com/robitalec/workshops/tree/master/2021-10-27-git-intro
